area_id,area_name,city,area_type,locality_type,pincode,retail_shops,restaurants,banks_atms,medical_facilities,educational_centers,parking_lots,vacant_shops,pedestrian_count_15min,vehicle_count_15min,footfall_intensity,road_condition,street_lighting,cleanliness,avg_daily_customers,avg_transaction_value,monthly_rent,business_growth,property_price_sqft,residential_rent_1bhk,property_trend,google_rating,google_reviews_count,zomato_restaurants,population_estimate,last_survey_date,competition_level,parking_availability,main_issue,news_mentions_6months,col,monthly_rent_capped,property_price_sqft_capped,business_density,business_density_score,total_footfall,footfall_score,infrastructure_score,property_value_score,digital_presence_score,growth_momentum_score,competition_score,vacancy_rate,occupancy_score,economic_health_score,investment_category,recommended_business,risk_score,expected_return
AREA_004,Sector 43,Patiala,Urban,Commercial,148023.0,51.0,21.0,12.0,8,6,4.0,6.0,278.0,104.0,High,4.0,4,4.0,181.0,1175.0,40822.0,Growing,7361.0,24493.0,Rising,4.3,2483.0,21.0,30350.0,2025-01-17,High,Moderate,High rent,16.0,40822.0,40822.0,7361.0,84.0,78.5,330.0,87.19,80.0,92.63,86.0,100,30,10.53,89.47,81.11,High Potential,"Premium F&B, Tech Retail, Co-working",13.37,85.72
AREA_013,Sector 38,Mohali,Urban,Commercial,140790.0,61.0,22.0,11.0,6,6,2.0,11.0,253.0,135.0,High,5.0,5,4.0,141.0,667.0,42774.0,Declining,7463.0,25664.0,Stable,4.7,1907.0,22.0,48646.0,2025-01-16,Low,Easy,Poor infrastructure,7.0,42774.0,42774.0,7463.0,94.0,87.85,320.5,84.68,93.33,93.91,94.0,20,100,15.28,84.72,80.48,High Potential,"Premium F&B, Tech Retail, Co-working",12.7,85.85
AREA_138,Gharuan Zone 2,Ambala,Urban,Commercial,146543.0,64.0,29.0,5.0,6,5,2.0,3.0,265.0,128.0,High,5.0,5,4.0,126.0,1129.0,30287.0,Stable,6518.0,18172.0,Stable,3.8,1025.0,29.0,37959.0,2025-01-25,Medium,Easy,High rent,8.0,30287.0,30287.0,6518.0,98.0,91.59,329.0,86.92,93.33,82.02,76.0,60,60,4.48,95.52,80.41,High Potential,"Premium F&B, Tech Retail, Co-working",5.14,81.05
AREA_111,Sector 38 Zone 2,Zirakpur,Urban,Commercial,143739.0,55.0,34.0,6.0,6,3,5.0,9.0,273.0,92.0,High,5.0,5,4.0,132.0,858.0,43878.0,Stable,6781.0,26326.0,Stable,4.1,694.0,34.0,35076.0,2025-01-17,Medium,Moderate,parking shortage,,43878.0,43878.0,6781.0,95.0,88.79,319.0,84.28,93.33,85.33,82.0,60,60,14.06,85.94,80.37,High Potential,"Premium F&B, Tech Retail, Co-working",11.84,82.35
AREA_179,Ranjit Avenue Zone 2,Ambala,Urban,Commercial,144045.0,66.0,28.0,12.0,5,4,2.0,4.0,269.0,96.0,High,5.0,5,3.0,150.0,929.0,43293.0,Declining,7261.0,25975.0,Stable,4.2,1297.0,28.0,32442.0,2025-01-14,Low,Moderate,Poor infrastructure,18.0,43293.0,43293.0,7261.0,106.0,99.07,317.0,83.75,86.67,91.37,84.0,20,100,5.71,94.29,80.25,High Potential,"Premium F&B, Tech Retail, Co-working",8.0,84.7
AREA_074,Rajguru Nagar,Chandigarh,Urban,Commercial,140480.0,68.0,27.0,10.0,7,4,3.0,13.0,273.0,179.0,High,5.0,5,4.0,120.0,890.0,38475.0,Stable,6221.0,23085.0,Rising,3.8,1518.0,27.0,30124.0,2025-01-13,High,Easy,High rent,13.0,38475.0,38475.0,6221.0,105.0,98.13,362.5,95.77,93.33,78.28,76.0,60,30,16.05,83.95,79.86,High Potential,"Premium F&B, Tech Retail, Co-working",13.24,79.23
AREA_184,Lakkar Bazaar Zone 2,Panchkula,Urban,Commercial,144176.0,49.0,20.0,7.0,5,5,5.0,3.0,260.0,111.0,High,5.0,5,3.0,126.0,863.0,44380.0,Growing,6977.0,26628.0,Rising,3.8,1762.0,20.0,44133.0,2025-01-06,High,Difficult,High rent,5.0,44380.0,44380.0,6977.0,76.0,71.03,315.5,83.36,86.67,87.79,76.0,100,30,5.77,94.23,78.35,High Potential,"Premium F&B, Tech Retail, Co-working",8.04,82.13
AREA_168,Civil Lines Zone 2,Ambala,Urban,Commercial,142490.0,67.0,30.0,10.0,8,5,5.0,11.0,213.0,120.0,High,4.0,4,3.0,78.0,1331.0,46112.0,Declining,7710.0,27667.0,Stable,4.6,1560.0,30.0,47793.0,2025-01-28,Low,Easy,High rent,5.0,46112.0,46112.0,7710.0,107.0,100.0,273.0,72.13,73.33,97.02,92.0,20,100,14.1,85.9,77.83,High Potential,"Premium F&B, Tech Retail, Co-working",17.87,85.51
AREA_037,Landran College Area,Chandigarh,Urban,Commercial,141262.0,57.0,29.0,10.0,9,6,5.0,5.0,251.0,163.0,High,4.0,4,4.0,153.0,671.0,30664.0,Stable,7400.0,18398.0,Falling,4.4,2485.0,29.0,30935.0,2025-01-25,High,Difficult,Poor infrastructure,14.0,30664.0,30664.0,7400.0,96.0,89.72,332.5,87.85,80.0,93.12,88.0,60,30,8.06,91.94,77.73,High Potential,"Premium F&B, Tech Retail, Co-working",11.64,83.89
AREA_151,Zirakpur Main Market Zone 2,Mohali,Urban,Commercial,140615.0,54.0,25.0,5.0,4,3,3.0,6.0,223.0,91.0,High,5.0,5,3.0,76.0,975.0,33932.0,Growing,6137.0,20359.0,Stable,4.3,2199.0,25.0,31223.0,2025-01-18,High,Difficult,High rent,10.0,33932.0,33932.0,6137.0,84.0,78.5,268.5,70.94,86.67,77.22,86.0,100,30,10.0,90.0,77.34,High Potential,"Premium F&B, Tech Retail, Co-working",11.0,77.29
AREA_041,Morinda,Zirakpur,Urban,Mixed,149108.0,41.0,20.0,6.0,7,4,3.0,5.0,197.0,124.0,Medium,4.0,4,4.0,95.0,607.0,26805.0,Growing,5321.0,16083.0,Rising,3.7,904.0,20.0,33519.0,2025-01-26,Low,Easy,Poor infrastructure,13.0,26805.0,26805.0,5321.0,67.0,62.62,259.0,68.43,80.0,66.96,74.0,100,100,10.87,89.13,77.28,High Potential,"Fitness Centers, Cafes, Boutiques",13.61,73.15
AREA_119,Phase 3B2 Zone 2,Ambala,Urban,Commercial,148583.0,56.0,24.0,9.0,7,3,5.0,9.0,292.0,121.0,High,5.0,4,4.0,131.0,1297.0,33869.0,Declining,6785.0,20321.0,Falling,3.5,2214.0,24.0,34896.0,2025-01-09,Low,Easy,High rent,5.0,33869.0,33869.0,6785.0,89.0,83.18,352.5,93.13,86.67,85.38,70.0,20,100,13.85,86.15,76.65,High Potential,"Premium F&B, Tech Retail, Co-working",13.69,80.14
AREA_194,Sector 13 Karnal Zone 2,Zirakpur,Urban,Commercial,142755.0,55.0,22.0,6.0,7,3,5.0,4.0,269.0,126.0,High,5.0,5,4.0,139.0,873.0,31746.0,Stable,7947.0,19047.0,Rising,3.5,1364.0,22.0,35834.0,2025-01-02,High,Easy,parking shortage,19.0,31746.0,31746.0,7947.0,83.0,77.57,332.0,87.71,93.33,100.0,70.0,60,30,6.78,93.22,76.3,High Potential,"Premium F&B, Tech Retail, Co-working",6.75,85.78
AREA_087,Lower Bazaar,Ambala,Urban,Commercial,149276.0,53.0,33.0,5.0,9,6,3.0,4.0,244.0,166.0,High,4.0,5,3.0,158.0,1288.0,49140.0,Stable,6579.0,29484.0,Stable,3.3,1870.0,33.0,37169.0,2025-01-17,Medium,Easy,High rent,,49140.0,49140.0,6579.0,91.0,85.05,327.0,86.39,80.0,82.79,66.0,60,60,7.02,92.98,76.1,High Potential,"Premium F&B, Tech Retail, Co-working",10.91,78.78
AREA_012,Sector 34,Ambala,Urban,Commercial,141007.0,54.0,32.0,6.0,5,4,3.0,3.0,206.0,71.0,High,4.0,4,4.0,90.0,1363.0,47849.0,Declining,7929.0,28709.0,Rising,4.6,2422.0,32.0,46762.0,2025-01-20,Low,Difficult,Poor infrastructure,13.0,47849.0,47849.0,7929.0,92.0,85.98,241.5,63.8,80.0,99.77,92.0,20,100,5.26,94.74,74.85,High Potential,"Premium F&B, Tech Retail, Co-working",9.68,84.82
AREA_128,Kharar Main Market Zone 2,Zirakpur,Urban,Mixed,144032.0,43.0,14.0,11.0,5,5,4.0,5.0,130.0,43.0,Medium,5.0,5,4.0,51.0,678.0,20623.0,Growing,5209.0,12373.0,Falling,3.5,2208.0,14.0,49265.0,2025-01-06,Low,Difficult,High rent,9.0,20623.0,20623.0,5209.0,68.0,63.55,151.5,40.03,93.33,65.55,70.0,100,100,10.42,89.58,73.78,High Potential,"Fitness Centers, Cafes, Boutiques",9.3,70.49
AREA_120,Phase 5 Zone 2,Ambala,Urban,Mixed,148633.0,40.0,14.0,10.0,5,3,5.0,4.0,120.0,49.0,Medium,5.0,4,4.0,62.0,807.0,22684.0,Growing,6128.0,13610.0,Rising,3.8,1545.0,14.0,31097.0,2025-01-15,Low,Moderate,parking shortage,16.0,22684.0,22684.0,6128.0,64.0,59.81,144.5,38.18,86.67,77.11,76.0,100,100,9.09,90.91,73.69,High Potential,"Fitness Centers, Cafes, Boutiques",10.36,75.06
AREA_010,Sector 19,Zirakpur,Urban,Commercial,147942.0,48.0,34.0,10.0,7,7,5.0,5.0,234.0,159.0,High,5.0,4,4.0,124.0,738.0,46525.0,Declining,6658.0,27915.0,Stable,4.4,1625.0,34.0,44616.0,2025-01-03,Medium,Difficult,High rent,10.0,46525.0,46525.0,6658.0,92.0,85.98,313.5,82.83,86.67,83.78,88.0,20,60,9.43,90.57,72.96,High Potential,"Premium F&B, Tech Retail, Co-working",10.6,77.29
AREA_190,Parwanoo Zone 2,Patiala,Urban,Commercial,142466.0,65.0,27.0,6.0,9,5,2.0,9.0,204.0,135.0,High,5.0,5,4.0,112.0,1272.0,31455.0,Declining,6812.0,18873.0,Stable,4.2,2122.0,27.0,35456.0,2025-01-20,Medium,Moderate,High rent,9.0,31455.0,31455.0,6812.0,98.0,91.59,271.5,71.73,93.33,85.72,84.0,20,60,12.16,87.84,72.92,High Potential,"Premium F&B, Tech Retail, Co-working",10.51,78.04
AREA_140,Airport Road Zone 2,Panchkula,Urban,Commercial,148880.0,46.0,21.0,11.0,6,3,4.0,4.0,228.0,124.0,High,5.0,4,4.0,125.0,794.0,37759.0,Declining,7678.0,22655.0,Rising,3.4,1226.0,21.0,45876.0,2025-01-20,Low,Easy,Low footfall,19.0,37759.0,37759.0,7678.0,78.0,72.9,290.0,76.62,86.67,96.62,68.0,20,100,8.0,92.0,72.77,High Potential,"Premium F&B, Tech Retail, Co-working",9.6,82.31
AREA_166,Ferozepur Road Zone 2,Panchkula,Urban,Commercial,143970.0,56.0,21.0,5.0,4,7,4.0,10.0,296.0,104.0,High,4.0,4,4.0,192.0,660.0,46740.0,Declining,7830.0,28044.0,Rising,3.7,2334.0,21.0,41297.0,2025-01-11,Medium,Easy,parking shortage,15.0,46740.0,46740.0,7830.0,82.0,76.64,348.0,91.94,80.0,98.53,74.0,20,60,15.15,84.85,72.1,High Potential,"Premium F&B, Tech Retail, Co-working",16.61,82.67
AREA_145,Sector 20 Zone 2,Ambala,Urban,Commercial,146596.0,42.0,22.0,12.0,4,6,,3.0,228.0,119.0,High,4.0,5,3.0,142.0,1197.0,38781.0,Stable,6691.0,23268.0,Falling,3.4,,22.0,41996.0,2025-01-17,Medium,Easy,parking shortage,,38781.0,38781.0,6691.0,76.0,71.03,287.5,75.96,80.0,84.2,68.0,60,60,6.67,93.33,71.78,High Potential,"Premium F&B, Tech Retail, Co-working",10.67,76.75
AREA_089,Dhalli,Mohali,Urban,Commercial,143822.0,62.0,28.0,10.0,4,3,3.0,9.0,227.0,155.0,High,5.0,5,3.0,115.0,1337.0,40588.0,Declining,6234.0,24352.0,Stable,4.6,771.0,28.0,33240.0,2025-01-24,High,Moderate,Poor infrastructure,15.0,40588.0,40588.0,6234.0,100.0,93.46,304.5,80.45,86.67,78.44,92.0,20,30,12.68,87.32,70.79,High Potential,"Premium F&B, Tech Retail, Co-working",12.88,73.85
AREA_081,Ranjit Avenue,Chandigarh,Urban,Commercial,140347.0,59.0,29.0,9.0,4,3,5.0,7.0,252.0,136.0,High,4.0,4,3.0,124.0,1149.0,43363.0,Declining,6205.0,26017.0,Stable,4.0,1426.0,29.0,38965.0,2025-01-08,Medium,Easy,Poor infrastructure,15.0,43363.0,43363.0,6205.0,97.0,90.65,320.0,84.54,73.33,78.08,80.0,20,60,10.61,89.39,70.72,High Potential,"Premium F&B, Tech Retail, Co-working",15.43,73.66
AREA_070,Civil Lines,Zirakpur,Urban,Commercial,149728.0,47.0,34.0,8.0,4,6,2.0,4.0,254.0,121.0,High,5.0,4,4.0,81.0,978.0,33089.0,Declining,6903.0,19853.0,Rising,4.4,1939.0,34.0,43917.0,2025-01-12,High,Moderate,parking shortage,19.0,33089.0,33089.0,6903.0,89.0,83.18,314.5,83.09,86.67,86.86,88.0,20,30,7.84,92.16,69.82,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",9.49,76.64
AREA_061,Saha,Patiala,Urban,Mixed,143428.0,42.0,19.0,7.0,5,3,5.0,4.0,146.0,93.0,Medium,5.0,5,3.0,92.0,903.0,29975.0,Stable,5094.0,17985.0,Stable,4.0,1811.0,19.0,35037.0,2025-01-28,Low,Moderate,parking shortage,16.0,29975.0,29975.0,5094.0,68.0,63.55,192.5,50.86,86.67,64.1,80.0,60,100,8.7,91.3,69.56,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",10.09,67.38
AREA_077,GT Road Jalandhar,Chandigarh,Urban,Mixed,148147.0,44.0,12.0,8.0,7,6,2.0,2.0,191.0,110.0,Medium,4.0,4,3.0,129.0,729.0,24419.0,Growing,5172.0,14651.0,Rising,3.7,970.0,12.0,44776.0,2025-01-26,High,Difficult,parking shortage,5.0,24419.0,24419.0,5172.0,64.0,59.81,246.0,64.99,73.33,65.08,74.0,100,30,4.35,95.65,67.87,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",11.05,66.75
AREA_177,Phillaur Zone 2,Chandigarh,Urban,Mixed,143932.0,28.0,17.0,8.0,5,7,4.0,2.0,140.0,49.0,Medium,4.0,5,4.0,49.0,951.0,24858.0,Stable,5748.0,14914.0,Falling,4.6,879.0,17.0,30696.0,2025-01-03,Low,Difficult,Poor infrastructure,6.0,24858.0,24858.0,5748.0,53.0,49.53,164.5,43.46,86.67,72.33,92.0,60,100,6.67,93.33,67.61,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",8.67,69.5
AREA_005,Sector 8,Zirakpur,Urban,Mixed,148450.0,28.0,17.0,10.0,7,5,3.0,1.0,144.0,67.0,Medium,5.0,4,4.0,78.0,1388.0,33258.0,Growing,6404.0,19954.0,Falling,3.4,1897.0,17.0,46404.0,2025-01-07,High,Moderate,High rent,8.0,33258.0,33258.0,6404.0,55.0,51.4,177.5,46.9,86.67,80.58,68.0,100,30,3.45,96.55,66.19,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",6.41,71.95
AREA_158,Ambala City Market Zone 2,Zirakpur,Urban,Mixed,140165.0,26.0,17.0,5.0,5,6,5.0,2.0,171.0,55.0,Medium,5.0,4,3.0,104.0,1444.0,25914.0,Stable,5087.0,15548.0,Rising,4.4,779.0,17.0,34456.0,2025-01-23,Low,Difficult,High rent,12.0,25914.0,25914.0,5087.0,48.0,44.86,198.5,52.44,80.0,64.01,88.0,60,100,7.14,92.86,65.89,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",11.0,65.14
AREA_066,Samana,Panchkula,Semi-Urban,Commercial,140030.0,27.0,11.0,3.0,6,5,2.0,3.0,88.0,60.0,Medium,4.0,4,3.0,52.0,1354.0,12239.0,Growing,4913.0,7343.0,Rising,4.5,550.0,11.0,30092.0,2025-01-11,Low,Easy,parking shortage,0.0,12239.0,12239.0,4913.0,41.0,38.32,118.0,31.18,73.33,61.82,90.0,100,100,10.0,90.0,65.69,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",15.0,64.14
AREA_002,Sector 22,Chandigarh,Semi-Urban,Mixed,141220.0,25.0,13.0,7.0,5,1,0.0,4.0,116.0,51.0,Medium,3.0,3,3.0,76.0,763.0,16898.0,Growing,4807.0,10138.0,Falling,4.1,1453.0,13.0,33023.0,2025-01-23,Low,Easy,High rent,9.0,16898.0,16898.0,4807.0,45.0,42.06,141.5,37.38,60.0,60.49,82.0,100,100,13.79,86.21000000000001,64.6,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",21.65,62.96
AREA_137,Lalru Zone 2,Mohali,Urban,Commercial,145993.0,49.0,20.0,12.0,9,3,2.0,6.0,206.0,78.0,High,4.0,5,3.0,74.0,1340.0,34580.0,Declining,7268.0,20748.0,Falling,4.4,1117.0,20.0,41895.0,2025-01-24,High,Moderate,Poor infrastructure,9.0,34580.0,34580.0,7268.0,81.0,75.7,245.0,64.73,80.0,91.46,88.0,20,30,10.91,89.09,64.57,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",13.64,75.33
AREA_118,IT Park Phase 8 Zone 2,Zirakpur,Semi-Urban,Mixed,143734.0,32.0,9.0,3.0,4,4,0.0,5.0,113.0,78.0,Medium,3.0,4,3.0,63.0,1070.0,18992.0,Growing,3891.0,11395.0,Rising,3.9,959.0,9.0,33337.0,2025-01-18,Low,Moderate,Poor infrastructure,1.0,18992.0,18992.0,3891.0,44.0,41.12,152.0,40.16,66.67,48.96,78.0,100,100,13.51,86.49,64.13,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",19.46,58.06
AREA_025,Phase 10,Solan,Semi-Urban,Commercial,141982.0,34.0,15.0,8.0,6,3,0.0,6.0,70.0,39.0,Medium,4.0,4,3.0,41.0,896.0,19290.0,Growing,3604.0,11574.0,Stable,3.8,1645.0,15.0,27190.0,2025-01-01,Low,Easy,Low footfall,,19290.0,19290.0,3604.0,57.0,53.27,89.5,23.65,73.33,45.35,76.0,100,100,15.0,85.0,63.95,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",18.5,56.51
AREA_048,Mansa Devi Complex,Amritsar,Semi-Urban,Commercial,142884.0,24.0,14.0,9.0,2,5,3.0,3.0,91.0,30.0,Medium,4.0,4,2.0,40.0,1486.0,13532.0,Growing,4941.0,8119.0,Falling,3.8,1238.0,14.0,25716.0,2025-01-17,Low,Easy,Poor infrastructure,9.0,13532.0,13532.0,4941.0,47.0,43.93,106.0,28.01,66.67,62.17,76.0,100,100,11.11,88.89,63.89,Moderate Potential,"Retail Chains, Quick Service Restaurants, Banks",17.78,63.2
AREA_108,Sector 19 Zone 2,Solan,Semi-Urban,Mixed,149309.0,23.0,11.0,9.0,3,1,2.0,3.0,102.0,45.0,Medium,4.0,3,3.0,37.0,1265.0,13720.0,Growing,4531.0,8232.0,Rising,4.0,311.0,11.0,32144.0,2025-01-09,Low,Easy,High rent,10.0,13720.0,13720.0,4531.0,43.0,40.19,124.5,32.89,66.67,57.02,80.0,100,100,11.54,88.46000000000001,63.8,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.08,61.09
AREA_181,Mall Road ASR Zone 2,Jalandhar,Semi-Urban,Residential,147089.0,31.0,12.0,6.0,2,2,0.0,6.0,116.0,50.0,Medium,4.0,3,3.0,58.0,978.0,16173.0,Growing,3798.0,9703.0,Stable,3.3,1692.0,12.0,23652.0,2025-01-26,Low,Easy,Low footfall,5.0,16173.0,16173.0,3798.0,49.0,45.79,141.0,37.25,66.67,47.79,66.0,100,100,16.22,83.78,63.2,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",21.35,57.04
AREA_042,Airport Road,Patiala,Semi-Urban,Mixed,143444.0,28.0,13.0,6.0,5,4,0.0,2.0,104.0,58.0,Medium,3.0,3,2.0,35.0,890.0,12458.0,Growing,3844.0,7474.0,Rising,4.0,350.0,13.0,19002.0,2025-01-02,Low,Easy,Low footfall,8.0,12458.0,12458.0,3844.0,47.0,43.93,133.0,35.14,53.33,48.37,80.0,100,100,6.67,93.33,61.92,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",18.67,56.5
AREA_102,Sector 43 Zone 2,Zirakpur,Urban,Mixed,146416.0,27.0,17.0,8.0,4,6,3.0,4.0,144.0,81.0,Medium,5.0,5,3.0,88.0,847.0,34183.0,Declining,6194.0,20509.0,Rising,3.8,1984.0,17.0,33307.0,2025-01-02,Low,Moderate,parking shortage,5.0,34183.0,34183.0,6194.0,52.0,48.6,184.5,48.75,86.67,77.94,76.0,20,100,12.9,87.1,61.45,Moderate Potential,"Grocery Stores, Pharmacies, Education Centers",13.03,68.05
